Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.01     0.00  3000000     0.00     0.00  std::__detail::_Hashtable_base<char const*, std::pair<char const* const, std::vector<double, std::allocator<double> >*>, std::__detail::_Select1st, PtrEq, PtrHash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_S_equals(unsigned long, std::__detail::_Hash_node_code_cache<false> const&)
  0.00      0.01     0.00  3000000     0.00     0.00  std::__detail::operator==(std::__detail::_Node_iterator_base<std::pair<char const* const, std::vector<double, std::allocator<double> >*>, false> const&, std::__detail::_Node_iterator_base<std::pair<char const* const, std::vector<double, std::allocator<double> >*>, false> const&)
  0.00      0.01     0.00  3000000     0.00     0.00  std::tuple_element<0ul, std::pair<char const* const, std::vector<double, std::allocator<double> >*> >::type const& std::get<0ul, char const* const, std::vector<double, std::allocator<double> >*>(std::pair<char const* const, std::vector<double, std::allocator<double> >*> const&)
  0.00      0.01     0.00  3000000     0.00     0.00  std::pair<char const* const, std::vector<double, std::allocator<double> >*> const& std::forward<std::pair<char const* const, std::vector<double, std::allocator<double> >*> const&>(std::remove_reference<std::pair<char const* const, std::vector<double, std::allocator<double> >*> const&>::type&)
  0.00      0.01     0.00  2120000     0.00     0.00  base
  0.00      0.01     0.00  2120000     0.00     0.00  factor
  0.00      0.01     0.00  2120000     0.00     0.00  power
  0.00      0.01     0.00  2000410     0.00     0.00  std::__detail::_Node_iterator<std::pair<char const* const, double*>, false, false>::_Node_iterator(std::__detail::_Hash_node<std::pair<char const* const, double*>, false>*)
  0.00      0.01     0.00  2000303     0.00     0.00  char const** std::vector<char const*, std::allocator<char const*> >::_M_data_ptr<char const*>(char const**) const
  0.00      0.01     0.00  2000202     0.00     0.00  std::vector<lilc::DeepCode, std::allocator<lilc::DeepCode> >::end()
  0.00      0.01     0.00  2000200     0.00     0.00  lilc::_opSet()
